HSR,KOS,TOLT,HTW,NN17,OBC,GLK,WRD,NNVM,RAFT,WRW,LNO,LO2,SNB,TMBU,BHAM,KWBU,SNI,CAVE,TDL,BERY,TWW,PALM,SHUK,WESG,SPN5,VFP,OPCH,VALT,NORM,TRW,PIE,MINN,TREE,YEL,BRSP,PR05,BEER,RCS,MTM,FMW,RATT,RPW2,GPW,HUSB,LVP,B204,EDM,NN32,MEW,YOCR,ASBU,CIHL,CDF,SWFL,SEND,RUSH,BRAN,YACT,MJ2,NCO,BLOW,NN21,NAC,TBM,GBB,TCBU,B203,ASR,RVC,MOON,LSON,NOB,CLCV,RSW,H2E,LON,GHW,HIYU,SHW,ELK,BKC,OT3,ETW,UMAT,KENT,IRO,BVW,DAVN,STAR,SHRK,HUO,CARB,NATH,BRKS,MBW,SWNB,EPH2,EPH,NN19,REM,SVIC,CRBN,JUN,IZEE,WA2,MDW,B202,WPW,B926,VTH,SEP,LOC,RED,STOR,JRO,B941,RVW,FRIS,SUG,RER,SOS,LCW,DFAZ,VOIT,CPCO,KEB,PINE,CMM,RNO,OZB,GSM,MULN,WIFE,WISH,FL2,JCW,VDEB,TIMB,SAXON,B020,FHE,BLIS,NED,HOA,PRLK,RCM,BURN,TOPL,WIW,GBL,DONK,HDW,G05D,LKVW,TDH,OBSR,PARA,SWF2,NEL,STD,VBE,OOW2,CHMT,F05D,PANH,GRUT,HOOD,C06D,RPW,B201,MIDE,GUL,CTR,VLL,SIFT,OSD
,,,,,,,,,,,,,,,,,,,,,,3.9316995299083635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.714144433108244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.163131764173022,,,,,,,,,,,,,,,,,3.1369997279419066,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,4.991579234514962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.608561775329391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.769890510028766,,,,,,,,,,,,,,,,,5.429205425199947,,,,,,,,,,,,5.8368583899077695,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,4.6894981157111815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.694369801146451,,,,,,,,,,,,3.7634704752151658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.185514376167439,,,,,,,,,,,,,,,,,3.5746636907783036,,,,,,,,,,,,,,,,,,,3.9297490535272104,,
,,,,,,,,,,,,,,,,,,,,,,3.898403258263068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.213687401293183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5007619792306164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.040428708827282,,
,,,,,,,,,,,,,,,,,,,,,,4.038004809510054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.780008650989756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.769666355714904,,,,,,,,,,,,,,,,,3.461424249655237,,,,,,,,,,,,4.259041463225136,,,,,,,4.259439609341477,,
,,,,,,,,,,,,,,,,,,,,,,5.890377615881533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.31683158424805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.767673062612083,,,,,,,,,,,,,,,,,5.242580177250289,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,4.140970227704064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8174821230585003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.041402674783486,,,,,,,,,,,,,,,,,3.5131223309209116,,,,,,,,,,,,,,,,,,,4.706111280198454,,
,,,,,,,,,,,,,,,,,,,,,,4.758469856155031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.360414931703423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0251460748803245,,,,,,,,,,,,,,,,,4.237725007702444,,,,,,,,,,,,4.3835608118442515,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,4.826685344129451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.329637653392321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2961479285699187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.394962515793529,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,5.352210869974188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.121287781308221,,,,,,,,,,,,3.7959875008674198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.765698970811652,,,,,,,,,,,,,,,,,3.9009783382332364,,,,,,,,,,,,4.9597202465184695,,,,,,,5.362280512743951,,
,,,,,,,,,,,,,,,,,,,,,,5.993992582010328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.185488973704129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.041264432876099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.337472534494588,,
,,,,,,,,,,,,,,,,,,,,,,3.765599598438455,,,,3.0893208334052455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00651183701926,,,,,,,,,,,,3.393547911117992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7370284623021734,,,,,,,,,,,,,,,,,3.3701426691124197,,,,,,,,,,,,4.122753591216933,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,4.2267505017239255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.07505857181366,,,,,,,,,,,,3.8205671148541342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.302184528938278,,,,,,,,,,,,,,,,,3.209487978403856,,,,,,,,,,,,,,,,,,,4.336982196563859,,
,,,,,,,,,,,,,,,,,,,,,,4.8087354070993955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.139156646246558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.376017714474867,,,,,,,,,,,,,,,,,3.741921924214954,,,,,,,,,,,,3.8277445227939086,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,4.214616052577128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.110565121008421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.759017538952957,,,,,,,,,,,,,,,,,3.4748979352279497,,,,,,,,,,,,3.7150483629103763,,,,,,,3.990441359651958,,
,,,,,,,,,,,,,,,,,,,,,,4.449429791924133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7441674778663177,,,,,,,,,,,,4.1505536176630935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.998877691724137,,,,,,,,,,,,,,,,,3.620505304105208,,,,,,,,,,,,4.698492846578532,,,,,,,4.224937347448225,,
,,,,,,,,,,,,,,,,,,,,,,6.4483575747586075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.775520358584029,,,,,,,,,,,,,,,,,4.3388098015278205,,,,,,,,,,,,6.575849301566775,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,4.429113293548471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0925315747375395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.224014043258717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.602922069510126,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,3.9319822961441817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.38543856525584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5958420684040506,,,,,,,,,,,,,,,,,3.299094332913049,,,,,,,,,,,,3.4047774559017485,,,,,,,3.7117351537319636,,
,,,,,,,,,,,,,,,,,,,,,,5.993552580767382,,,,5.443611149914756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2305483452308685,,,,,,,,,,,,4.9506580430136164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.530782710319442,,,,,,,,,,,,,,,,,4.926240787492036,,,,,,,,,,,,6.24303439533005,,,,,,,6.634001896155448,,
,,,,,,,,,,,,,,,,,,,,,,5.636250712391083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.18830379999265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6390517939391405,,,,,,,,,,,,,,,,,4.654507197505719,,,,,,,,,,,,4.725354713659171,,,,,,,4.9084735165404805,,
,,,,,,,,,,,,,,,,,,,,,,5.674085530182239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.796247747092303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.500084863034751,,,,,,,,,,,,,,,,,5.988724849950797,,,,,,,,,,,,7.23575209740364,,,,,,,5.31882763100851,,
,,,,,,,,,,,,,,,,,,,,,,4.836928021253847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.920410713665712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7093810311924726,,,,,,,,,,,,,,,,,3.629557447269124,,,,,,,,,,,,3.869267206495209,,,,,,,3.894952812327797,,
,,,,,,,,,,,,,,,,,,,,,,4.250383067565168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.769287843457578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8447872058264854,,,,,,,,,,,,,,,,,3.565370704087422,,,,,,,,,,,,4.026246388315167,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,4.14581091384382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.709980579964883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.658989792110504,,,,,,,,,,,,,,,,,3.6691725243417364,,,,,,,,,,,,,,,,,,,3.73034454870713,,
,,,,,,,,,,,,,,,,,,,,,,5.154228742062649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.622768953689139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2728393768889905,,,,,,,,,,,,,,,,,3.504801574383945,,,,,,,,,,,,4.74669667126795,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,4.297263783310544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0041118411643595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9970312148033718,,,,,,,,,,,,,,,,,3.5311411609876484,,,,,,,,,,,,5.595294833595533,,,,,,,4.14204870260814,,
,,,,,,,,,,,,,,,,,,,,,,3.629514038515448,,,,4.0900538365235555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1384162932328894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3317330418179263,,,,,,,,,,,,,,,,,2.945522898267797,,,,,,,,,,,,4.1478477966849105,,,,,,,3.5335855471184465,,
,,,,,,,,,,,,,,,,,,,,,,4.3352551527742875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.39663359011978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.483670728794421,,,,,,,,,,,,,,,,,3.787066308439711,,,,,,,,,,,,5.246294169441274,,,,,,,4.737453944083947,,
,,,,,,,,,,,,,,,,,,,,,,4.070812653271228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8006688146642675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.837590211211277,,,,,,,,,,,,,,,,,3.853404374973771,,,,,,,,,,,,5.586318420161751,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3.4683368834471713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4616317832587713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.890045672055281,,,,,,,,,,,,,,,,,3.5430110308211344,,,,,,3.4420732556563554,,,,,,4.635844512386798,,,,,,,3.4408973646828658,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3.158682108188029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.03939422680728,,,,,,,,,,,,,,,,,3.1669367435301345,,,,,,,,,,,,5.5253197560130864,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,4.587537316378943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.142568666970875,,,,,,,,,,,,,,,,,3.5028271752650477,,,,,,,,,,,,,,,,,,,5.331513813655559,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3.5170615258618363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8024185947999927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7634343270097212,,,,,,,,,,,,,,,,,3.145831581206263,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,4.2862059844702145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.415392050036633,,,,,,,,,,,,,,,,,4.891100943315954,,,,,,,,,,,,6.849491806258751,,,,,,,,,
